Item,Dealer,Price,Size
East wing room 209 key,Therapist,45600,1
Military gyrotachometer,Therapist,37200,2
Antique Vase,Therapist,40680,4
Military base checkpoint key,Therapist,61578,1
Broken GPhone X,Therapist,19200,1
Rechargeable battery,Therapist,10221,1
Office 108 East wing key,Therapist,42000,1
Antidote xTG-12,Therapist,37200,1
West wing room 303 key,Therapist,48600,1
Old firesteel,Therapist,20041,1
Golden 1GPhone,Therapist,26783,1
Working LCD,Therapist,22800,2
Toilet paper,Therapist,5280,1
coin,,21480,1
Tube of Poxeram,,11640,1
Cyclon accumulator battery,,51000,2
Golden rooster,,54339,4
Ultraviolet lamp,,9332,1
Gas analyzer,,12418,2
West wing room 323 key,Therapist,45600,1
Geiger-Muller counter,,10010,2
Bottle of Dan Jackiel Whiskey,Therapist,30000,2
GreenBat lithium battery,,15600,1
Morphine injector,,10122,1
Silver Badge,,36174,1
Hand drill,,36000,6
Fuel conditioner,,36362,2
West wing room 309 key,,40800,1
Bottle of vodka,Therapist,15000,2
Cat figurine,Therapist,28394,3
Horse figurine,Therapist,6868,2
Long flat screwdriver,Therapist,7920,2
Analog thermometer,Therapist,27360,2
Adrenaline injector,Therapist,14520,1
Hemostatic drug Zagustin,Therapist,15480,1
Can of Dr. Lupo's coffee beans,Therapist,31200,1
Raven figurine,Therapist,28800,2
Golden neck chain,Therapist,22906,1
Coffee Majaica,Therapist,8986,1
Veritas guitar pick,Therapist,33000,1
